CGUID,Relatioship,CGAge,CGSex
1281,2,57,1
1282,3,39,1
1283,2,56,1
1284,3,43,1
1285,2,57,1
1286,4,52,2
1287,2,56,2
1288,3,43,1
1289,2,54,1
1290,3,47,1
1291,3,34,1
1292,4,43,2
1293,3,39,1
1294,3,40,1
1295,3,41,1
1296,2,56,1
1297,3,43,1
1298,4,43,2
1299,3,43,1
1300,3,46,1
1301,4,44,2
1302,3,45,1
1303,3,45,1
1304,3,43,1
1305,3,43,1
1306,3,45,1
1307,3,45,1
1308,4,43,2
1309,3,45,1
1310,3,47,1
1311,2,50,2
1312,4,54,2
1313,3,47,1
1314,4,57,2
1315,3,45,1
1316,3,47,1
1317,2,34,2
1318,2,38,2
1319,2,43,1
1320,3,39,1
1321,2,43,1
1322,3,45,1
1323,2,45,1
1324,2,43,2
1325,2,45,1
1326,4,43,2
1327,4,43,2
1328,2,45,1
1329,4,42,2
1330,3,37,1
1331,4,36,2
1332,3,39,1
1333,3,38,1
1334,2,35,2
1335,3,39,1
1336,3,38,1
1337,4,45,2
1338,2,58,1
1339,4,56,2
1340,3,57,1
1341,3,35,1
1342,4,38,2
1343,3,39,1
1344,4,53,2
1345,3,65,1
1346,3,56,1
1347,3,51,1
1348,4,53,2
1349,4,47,2
1350,3,49,1
1351,4,54,2
1352,3,52,1
1353,3,49,1
1354,3,59,1
1355,3,45,1
1356,4,53,2
1357,3,56,1
1358,4,56,2
1359,3,49,1
1360,3,57,1
1361,2,63,1
1362,3,69,1
1363,3,49,1
1364,3,55,1
1365,3,53,1
1366,3,52,1
1367,3,52,1
1368,4,45,2
1369,4,52,2
1370,3,58,1
1371,3,46,1
1372,3,56,1
1373,3,53,1
1374,4,59,2
1375,3,58,1
1376,3,56,1
1377,3,59,1
1378,3,58,1
1379,3,56,1
1380,3,59,1
1381,3,50,1
1382,4,59,2
1383,3,43,1
1384,3,49,1
1385,4,52,2
1386,3,48,1
1387,3,51,1
1388,3,52,1
1389,4,49,2
